fraction,n_activation_rows,unit_count,median_activation_energy_relative_std,p90_activation_energy_relative_std,mean_activation_energy_relative_std,median_combined_relative_std,p90_combined_relative_std,mean_combined_relative_std
0.5,48,96,0.000716440656037658,0.05081779113850738,0.015739887990916083,0.1452061501220232,0.16838703448818798,0.14688693059035168
0.5,49,132,0.0007876371824846863,0.05749101045033168,0.016685910510163292,0.1417144603560922,0.17225090565974047,0.14330056423733611
0.5,50,81,0.0011096110883755926,0.0662737298745004,0.016522268201356494,0.14683413662067987,0.16693144993902295,0.14643230855988637
0.5,51,87,0.0006312610024835994,0.05588566552828927,0.015673890240104415,0.14153568995981003,0.16725188333209723,0.14204451541338506
0.5,52,81,0.0007006554489923984,0.05082469945138529,0.01689799910079227,0.13729662842721935,0.16260415884271445,0.13985041778437024
0.5,53,84,0.0008050066468009544,0.05515962629288279,0.015738228249878222,0.13947048440976295,0.16203175321683866,0.1393236964961791
0.5,54,63,0.0006653007815297408,0.051518595452396364,0.017350983480775517,0.13682996432313033,0.16643146621798058,0.14079415743174378
0.5,55,99,0.0008432912593553305,0.048292182763905345,0.01450908569534765,0.13500776086750435,0.15631470665257263,0.13578006003714357
0.5,56,66,0.0007105967066742847,0.040898606032093075,0.013329363133098088,0.13503878422473709,0.15594221260898006,0.13658927581260336
0.5,57,51,0.0007415820029146208,0.04048583947607064,0.01166759489090508,0.13410160599288987,0.15516948513871026,0.13386466776656897
0.5,58,66,0.0006875657476690426,0.048961066153394614,0.01443992756268008,0.13244481022385518,0.1524423549643037,0.1325262726607137
0.5,59,66,0.0009050940143028258,0.06083254075889137,0.016632042136869266,0.13004649020521558,0.1560146955969357,0.1333555112423451
0.5,60,99,0.0007335602231669647,0.04603464959677811,0.013254080905728561,0.1292912448665312,0.14684673508508678,0.12984606720669437
0.5,61,57,0.0007496760508920179,0.04387980978381057,0.014089957996054185,0.13049644130141086,0.1507655048201722,0.1295482685214632
0.5,62,72,0.0007452711685242145,0.045376532982116705,0.013687235363231133,0.12845163373599827,0.1548884050745731,0.13153790837859328
0.5,63,51,0.0006758724561400052,0.0490058865251623,0.014862581291914182,0.12502151473658835,0.15024397970817352,0.12845376688595916
0.5,64,8896,0.0006395878685396718,0.04732223782107318,0.013857130557822147,0.07509088272126782,0.11688531969389368,0.07264185610598217
0.75,1,2295,0.0,0.0,0.0,0.584705346204686,0.702728368926307,0.5844150947429342
0.75,2,1719,0.0,0.0,0.0,0.41172486363377164,0.490492061918116,0.41001611777592767
0.75,3,1308,0.002252450880873131,0.12845675716234844,0.03543046965353868,0.3369755091567684,0.4020336722720926,0.33923633183066415
0.75,4,1104,0.001714106038707708,0.08554259502335454,0.02548822486091345,0.29012774610850234,0.3476380843350635,0.29345870626824966
0.75,5,849,0.0012555177186770157,0.07406671028389607,0.021465471533147203,0.25987506314149655,0.31165873420247386,0.26099784460836123
0.75,6,798,0.0011782184081542716,0.06107242155615709,0.018037594214862354,0.23673408600425194,0.28117115224790706,0.2386157107627868
0.75,7,651,0.0013052324798621812,0.0781180141172937,0.02369560827051907,0.21894440419738684,0.26082185022947446,0.22223064154953073
0.75,8,624,0.0012113456602663886,0.06475515221170756,0.02036435728418431,0.2072931924044785,0.24354750037250553,0.20809591619291995
0.75,9,507,0.0011948660028401083,0.06583139632232057,0.018622711891832518,0.19385417265835483,0.2264432247054228,0.19525184044260274
0.75,10,498,0.0011014115426389692,0.05267273714267428,0.01526797020090909,0.18356586013510595,0.2112453182754496,0.18333203497915992
0.75,11,483,0.0009997548183896241,0.06365273055608386,0.018907806770170163,0.174764543650222,0.2062073561302511,0.1758616863157792
0.75,12,375,0.0010941647742451408,0.05518373112332518,0.01675877428119186,0.16825974391782075,0.1938521546547288,0.16834586485987413
0.75,13,375,0.0010036681611624487,0.051627475122791436,0.015861556771707308,0.16194305699334258,0.1863384153612428,0.1626064327099993
0.75,14,375,0.0008232183248065292,0.048456332458919546,0.014512010755200824,0.15507363262528936,0.18009897189403656,0.15602356961827213
0.75,15,375,0.0008527127600073508,0.05828379418348857,0.018472787465401895,0.15017753628456668,0.17839676099926097,0.15317650723038506
0.75,16,297,0.0009176054509628611,0.051366820793823216,0.0163548490008269,0.14635925652327453,0.17595957524638223,0.14930463786708548
0.75,17,327,0.0008614209966832475,0.049669912033643134,0.017402716524134516,0.14028894842751255,0.1629515612991518,0.1425225018989607
0.75,18,273,0.0006555033538683515,0.047630841475800115,0.014316411700878204,0.13752713554786455,0.162158611416562,0.13801400550494594
0.75,19,309,0.0007437784866325048,0.05088342775682744,0.01513158717075888,0.13508512965432073,0.15475198998052347,0.13536956721262172
0.75,20,249,0.0008569419523457948,0.04800069511461289,0.01463725839601472,0.1290183760636957,0.15260960232328188,0.13024673610142815
0.75,21,231,0.0008414209406877774,0.045432448533037746,0.013670524887563715,0.1280389094565967,0.14997484533374061,0.12854013622417002
0.75,22,255,0.0008419100876987805,0.03798189325966553,0.011555898358134739,0.12251763729895757,0.1424595570439231,0.12333972910587683
0.75,23,225,0.000939760697714439,0.041567436952194906,0.012826080337835367,0.12100950563222149,0.14130564076180965,0.12208570593865484
0.75,24,198,0.0005739991933016097,0.03917090089087825,0.011944838336236434,0.11660576854861754,0.13561971961599345,0.11721571087493914
0.75,25,183,0.0005855549370208183,0.04079860856585222,0.013706401920599992,0.11742736447399947,0.13634559869765955,0.11862738221294873
0.75,26,180,0.0006687862722700332,0.0336443730132503,0.010794012924521874,0.112395294583441,0.12683787036388483,0.11225012554387032
0.75,27,195,0.0006835908752259828,0.044421568930697757,0.0139588215123276,0.11114528171275136,0.12693105309682834,0.11176488887944935
0.75,28,168,0.0006157801397957675,0.04592234308692975,0.012737545099440438,0.11063807384742722,0.12904067202160663,0.1114066729625393
0.75,29,171,0.0006220113793769543,0.039119407075883676,0.011746180655298144,0.10706623550789066,0.12690719717294158,0.10922968239362915
0.75,30,165,0.0007417284624121069,0.04495774282443461,0.01285876082872074,0.1080117190767614,0.12527450608654633,0.10924617239671214
0.75,31,114,0.0005177129236005739,0.03526751121200932,0.011388588581247501,0.10186697851541351,0.11984989599339094,0.10385195128393812
0.75,32,156,0.000594821079604054,0.03656298430486002,0.011156795961535139,0.10405707705115858,0.12050650320942946,0.10373876070811501
0.75,33,129,0.0005700982761982994,0.034376121712748134,0.009763098810249012,0.10165807043294338,0.11676970585917892,0.10182302295156505
0.75,34,144,0.0007394534105752571,0.039448109638437354,0.012402368032101421,0.1008006202469418,0.11689731744539383,0.1018258220754777
0.75,35,138,0.0008107603663589172,0.04100156785585876,0.011365648874975376,0.10073668092414842,0.11596445127780436,0.10072196481655181
0.75,36,126,0.0007377698944899775,0.03659218205549206,0.010684666022640073,0.09755172172334008,0.11277128072855608,0.09851328396532681
0.75,37,102,0.0005645365174263801,0.03784442924969726,0.010590644035038581,0.09596601101287702,0.11053776690689132,0.09649875171731896
0.75,38,129,0.0005804425999391056,0.03661681562644799,0.011083764523948134,0.09636487822799486,0.11005926864924051,0.09526823508423352
